Edge,Label
"(827, 819)",1
"(827, 703)",1
"(827, 724)",1
"(827, 741)",1
"(827, 830)",1
"(827, 766)",1
"(827, 849)",1
"(827, 823)",1
"(827, 756)",1
"(827, 853)",1
"(827, 760)",1
"(827, 805)",1
"(827, 731)",1
"(827, 719)",1
"(827, 762)",1
"(827, 783)",1
"(827, 797)",1
"(827, 787)",1
"(827, 773)",1
"(827, 758)",1
"(827, 705)",1
"(827, 784)",1
"(827, 809)",1
"(827, 842)",1
"(827, 817)",1
"(827, 694)",1
"(827, 810)",1
"(827, 752)",1
"(827, 814)",1
"(827, 772)",1
"(827, 781)",1
"(827, 713)",1
"(827, 800)",1
"(827, 761)",0
"(827, 764)",1
"(827, 697)",1
"(827, 828)",1
"(827, 718)",1
"(827, 834)",1
"(827, 708)",1
"(827, 745)",1
"(827, 715)",0
"(827, 755)",1
"(827, 824)",1
"(819, 828)",1
"(819, 708)",1
"(819, 747)",1
"(819, 830)",1
"(819, 807)",1
"(819, 848)",0
"(819, 753)",0
"(819, 835)",1
"(819, 719)",1
"(819, 739)",1
"(819, 838)",1
"(819, 688)",1
"(819, 705)",1
"(819, 724)",1
"(819, 713)",1
"(819, 698)",1
"(819, 823)",1
"(819, 792)",1
"(819, 697)",1
"(819, 815)",1
"(819, 840)",1
"(819, 856)",1
"(819, 774)",1
"(819, 687)",1
"(819, 709)",1
"(819, 728)",1
"(819, 834)",1
"(819, 735)",0
"(819, 780)",1
"(819, 805)",1
"(819, 778)",1
"(819, 817)",1
"(819, 824)",1
"(819, 703)",1
"(830, 826)",1
"(830, 823)",1
"(830, 834)",1
"(830, 760)",1
"(830, 800)",1
"(830, 751)",1
"(830, 724)",1
"(830, 840)",1
"(830, 754)",1
"(830, 846)",1
"(830, 828)",1
"(830, 824)",1
"(830, 705)",1
"(830, 731)",1
"(830, 745)",1
"(830, 856)",1
"(830, 726)",1
"(830, 688)",1
"(830, 694)",1
"(830, 713)",1
"(830, 723)",1
"(830, 687)",1
"(830, 752)",1
"(830, 847)",1
"(830, 697)",1
"(830, 792)",1
"(830, 780)",1
"(830, 853)",1
"(830, 849)",1
"(830, 701)",1
"(830, 695)",1
"(830, 778)",1
"(830, 709)",1
"(830, 838)",1
"(830, 696)",1
"(830, 844)",1
"(830, 781)",1
"(830, 820)",1
"(830, 737)",1
"(830, 719)",1
"(830, 747)",1
"(830, 777)",1
"(830, 845)",1
"(830, 774)",1
"(830, 727)",1
"(830, 817)",1
"(830, 766)",1
"(830, 815)",1
"(830, 748)",1
"(826, 842)",1
"(826, 828)",1
"(826, 824)",1
"(826, 724)",1
"(826, 766)",1
"(826, 738)",1
"(826, 784)",1
"(826, 723)",1
"(826, 756)",1
"(828, 752)",1
"(828, 728)",1
"(828, 849)",1
"(828, 698)",1
"(828, 823)",1
"(828, 688)",1
"(828, 856)",1
"(828, 693)",1
"(828, 687)",1
"(828, 713)",1
"(828, 718)",1
"(828, 792)",1
"(828, 812)",1
"(828, 706)",1
"(828, 737)",1
"(828, 723)",1
"(828, 759)",1
"(828, 853)",1
"(828, 697)",1
"(828, 751)",1
"(828, 727)",1
"(828, 745)",1
"(828, 837)",1
"(828, 844)",1
"(828, 724)",1
"(828, 778)",1
"(828, 848)",1
"(828, 846)",1
"(828, 817)",1
"(828, 726)",1
"(828, 845)",1
"(828, 820)",1
"(828, 824)",1
"(828, 807)",1
"(828, 779)",1
"(828, 784)",1
"(828, 780)",1
"(828, 851)",1
"(828, 797)",1
"(828, 709)",1
"(828, 842)",1
"(828, 772)",1
"(828, 705)",1
"(828, 847)",1
"(828, 694)",1
"(828, 739)",1
"(828, 760)",1
"(828, 773)",1
"(828, 814)",1
"(828, 747)",1
"(828, 781)",1
"(828, 764)",1
"(828, 774)",1
"(828, 766)",1
"(828, 754)",1
"(828, 805)",1
"(828, 741)",1
"(828, 731)",1
"(828, 769)",1
"(828, 696)",1
"(828, 703)",1
"(828, 815)",1
"(828, 800)",1
"(828, 810)",1
"(828, 834)",1
"(828, 835)",1
"(828, 770)",1
"(828, 840)",1
"(828, 719)",1
"(828, 711)",1
"(828, 829)",1
"(828, 708)",1
"(828, 838)",1
"(752, 726)",1
"(752, 805)",1
"(752, 853)",1
"(752, 842)",1
"(752, 759)",0
"(752, 800)",1
"(752, 731)",1
"(752, 719)",1
"(752, 706)",1
"(752, 834)",1
"(752, 766)",1
"(752, 831)",0
"(752, 711)",1
"(752, 738)",1
"(752, 713)",1
"(752, 820)",1
"(752, 688)",1
"(752, 694)",1
"(752, 747)",1
"(752, 745)",1
"(752, 705)",1
"(752, 781)",1
"(752, 823)",1
"(752, 727)",1
"(752, 824)",1
"(752, 784)",1
"(752, 724)",1
"(752, 695)",1
"(752, 810)",1
"(752, 774)",1
"(752, 773)",1
"(752, 847)",1
"(752, 829)",1
"(752, 815)",1
"(756, 694)",1
"(756, 847)",1
"(756, 734)",1
"(756, 688)",1
"(756, 727)",1
"(756, 805)",1
"(756, 719)",1
